count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6425,W,2003,2003-09-23,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,40,24,579,28,75,17,3,0,1,0,0,21,727
6425,W,2003,2003-09-23,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,22,47,510,29,127,28,1,0,0,0,0,29,742
6425,W,2003,2003-09-23,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,4,21,458,21,97,20,3,0,0,0,0,23,620
6425,W,2003,2003-09-23,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,5,13,442,20,119,20,1,0,1,0,0,22,616
6425,W,2003,2003-09-23,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,26,46,822,36,131,13,2,1,0,0,0,16,1051
6425,W,2003,2003-09-23,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,24,46,959,30,135,3,1,1,0,0,0,5,1175
6425,W,2003,2003-09-23,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,22,61,1383,33,150,11,0,0,0,0,0,11,1638
6425,W,2003,2003-09-23,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,21,42,931,32,75,5,1,0,0,0,0,6,1086
6425,W,2003,2003-09-23,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,45,62,978,33,94,2,1,0,0,0,0,3,1170
6425,W,2003,2003-09-23,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,21,48,939,25,54,1,0,0,0,0,0,1,1067
6425,E,2005,2005-10-12,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,72,46,512,68,128,25,3,1,0,0,0,29,783
6425,E,2005,2005-10-12,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,168,75,571,62,106,26,4,2,0,0,0,32,846
6425,E,2005,2005-10-12,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,83,57,656,51,124,30,0,0,0,0,0,30,918
6425,E,2005,2005-10-12,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,47,74,423,46,137,25,4,1,1,0,0,31,711
6425,E,2005,2005-10-12,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,57,69,515,44,145,22,0,0,0,0,0,22,795
6425,E,2005,2005-10-12,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,32,52,687,39,58,22,0,0,0,0,0,22,858
6425,E,2005,2005-10-12,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,54,74,694,45,131,30,3,1,0,0,0,34,978
6425,E,2005,2005-10-12,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,64,65,665,36,138,6,0,0,0,0,0,6,910
6425,E,2005,2005-10-12,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,45,57,695,37,154,12,0,0,0,0,0,12,955
6425,E,2005,2005-10-12,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,73,76,467,45,125,3,1,0,0,0,0,4,717
6425,E,2005,2005-10-12,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,140,90,528,61,95,2,0,0,0,0,0,2,776
6425,E,2005,2005-10-12,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,142,85,545,48,70,1,0,0,0,0,0,1,749
6425,W,2005,2005-10-12,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,104,46,366,51,132,19,7,1,0,0,0,27,622
6425,W,2005,2005-10-12,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,211,89,430,55,118,24,3,0,0,0,0,27,719
6425,W,2005,2005-10-12,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,168,73,651,52,159,34,2,0,0,0,0,36,971
6425,W,2005,2005-10-12,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,94,67,628,38,171,28,3,1,0,0,0,32,936
6425,W,2005,2005-10-12,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,85,88,676,34,157,32,3,1,0,0,0,36,991
6425,W,2005,2005-10-12,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,72,78,759,39,153,18,2,0,0,0,0,20,1049
6425,W,2005,2005-10-12,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,103,79,541,42,100,17,3,1,0,1,0,22,784
6425,W,2005,2005-10-12,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,77,70,588,39,111,10,1,0,0,0,0,11,819
6425,W,2005,2005-10-12,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,57,62,665,55,113,11,0,0,0,0,0,11,906
6425,W,2005,2005-10-12,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,92,80,564,52,92,6,1,0,0,0,0,7,795
6425,W,2005,2005-10-12,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,176,131,597,42,77,6,1,0,0,0,0,7,854
6425,W,2005,2005-10-12,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,129,114,514,49,40,4,1,0,0,0,0,5,722
6425,E,2008,2008-06-05,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,100,45,351,42,123,18,5,1,3,0,0,27,588
6425,E,2008,2008-06-05,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,181,59,426,48,112,26,2,1,0,0,0,29,674
6425,E,2008,2008-06-05,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,103,60,320,44,101,28,2,2,1,0,0,33,558
6425,E,2008,2008-06-05,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,60,60,394,41,138,34,3,1,1,0,0,39,672
6425,E,2008,2008-06-05,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,46,55,400,41,126,26,1,2,0,0,0,29,651
6425,E,2008,2008-06-05,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,59,61,418,40,140,11,3,1,0,0,0,15,674
6425,E,2008,2008-06-05,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,69,48,403,36,119,18,2,1,0,0,0,21,627
6425,E,2008,2008-06-05,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,48,71,432,32,100,22,4,1,0,0,0,27,662
6425,E,2008,2008-06-05,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,86,69,358,37,146,21,1,1,0,0,0,23,633
6425,E,2008,2008-06-05,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,122,70,505,39,125,11,1,1,0,0,0,13,752
6425,E,2008,2008-06-05,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,177,93,590,52,96,12,1,1,0,0,0,14,845
6425,E,2008,2008-06-05,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,192,64,492,37,71,1,1,0,0,0,0,2,666
6425,W,2008,2008-06-05,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,104,42,186,45,83,27,4,2,1,0,0,34,390
6425,W,2008,2008-06-05,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,218,60,197,40,74,22,2,3,0,0,0,27,398
6425,W,2008,2008-06-05,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,162,55,193,53,67,23,2,0,0,0,0,25,393
6425,W,2008,2008-06-05,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,92,55,198,40,72,23,1,1,1,0,0,26,391
6425,W,2008,2008-06-05,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,74,58,262,37,75,16,3,1,0,0,0,20,452
6425,W,2008,2008-06-05,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,68,65,270,37,66,20,2,1,0,0,0,23,461
6425,W,2008,2008-06-05,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,86,57,265,36,73,13,1,1,1,0,0,16,447
6425,W,2008,2008-06-05,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,90,63,302,34,74,13,0,0,0,0,0,13,486
6425,W,2008,2008-06-05,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,88,73,292,35,48,8,0,0,1,0,0,9,457
6425,W,2008,2008-06-05,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,110,65,310,40,59,6,1,0,0,0,0,7,481
6425,W,2008,2008-06-05,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,223,84,357,45,32,1,0,1,0,0,0,2,520
6425,W,2008,2008-06-05,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,218,96,374,47,18,3,0,0,0,0,0,3,538
6425,W,2012,2012-06-15,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,97,42,296,41,36,11,0,1,0,0,0,12,427
6425,W,2012,2012-06-15,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,101,51,314,37,27,12,0,3,0,0,0,15,444
